Common_name,n,Latin_name,Family,Order,Day_1_Viremia,Day_3_Viremia,Day_4_Viremia,Day_6_Viremia
Canada Goose,3,Branta canadensis,Anatidae,Anseriformes,2.8,4.5,3.4,1.7
Mallard,2,Anas platyrhynchos,Anatidae,Anseriformes,6.1,6.7,5.1,1.7
American Kestrel,2,Falco sparverius,Falconidae,Falconiformes,6.2,6.6,3.8,1.7
Northern Bobwhite,3,Colinus virginianus,Odontophoridae,Galliformes,2.8,2,1.9,1.7
Japanese Quail,3,Coturnix japonicus,Odontophoridae,Galliformes,1.7,2.8,3.4,2.2
Ring-necked Pheasant,3,Phasianus colchicus,Phasianidae,Galliformes,2.1,2.6,1.8,1.7
American Coot,1,Fulica americana,Rallidae,Gruiformes,1.7,4.5,4.6,1.7
Killdeer,2,Charadrius vociferus,Charadriidae,Charadriiformes,6.2,8.1,4.9,1.7
Ring-billed Gull,2,Larus delawarensis,Laridae,Charadriiformes,5.4,8,7.4,5.3
Mourning Dove,3,Zenaida macroura,Columbidae,Columbiformes,4.8,5.6,3.3,1.7
Rock Dove,6,Columba livia,Columbidae,Columbiformes,3.5,4.2,2.9,
Monk Parakeet,3,Myiopsitta monachus,Psittacidae,Psittaciformes,2.8,3.5,1.7,1.7
Budgerigar,3,Melopsittacus undulatus,Psittacidae,Psittaciformes,2.3,2.8,2.9,1.7
Great Horned Owl,1,Bubo virginianus,Strigidae,Strigiformes,3.9,7.6,6,3.5
Northern Flicker,1,Colaptes auratus,Picidae,Piciformes,3.9,5.4,3.9,1.7
Blue Jay,4,Cyanocitta cristata,Corvidae,Passeriformes,8.5,12.1,10.5,1.7
Black-billed Magpie,3,Pica hudsonia,Corvidae,Passeriformes,5.3,8.8,4.9,1.7
American Crow,8,Corvus brachyrhynchos,Corvidae,Passeriformes,5.8,9.9,10.2,
Fish Crow,9,Corvus ossifragus,Corvidae,Passeriformes,5.4,7.8,8.9,4
American Robin,2,Turdus migratorius,Turdidae,Passeriformes,5.8,7.3,4.6,1.7
European Starling,6,Sturnus vulgaris,Sturnidae,Passeriformes,5.3,4.9,2.3,1.7
Red-winged Blackbird,3,Agelaius phoeniceus,Icteridae,Passeriformes,5.9,6,1.7,1.7
Common Grackle,6,Quiscalus quiscula,Icteridae,Passeriformes,6.1,11.8,11.8,1.7
House Finch,2,Carpodacus mexicanus,Fringillidae,Passeriformes,5.4,8.8,6.6,6.2
House Sparrow,6,Passer domesticus,Passeridae,Passeriformes,7.8,10.3,10.3,1.8
